Start station,Start time,End station,End time
291,2016-09-02 08:01:28 +0200,233,2016-09-02 08:04:02 +0200
291,2016-09-02 08:06:30 +0200,229,2016-09-02 08:13:09 +0200
211,2016-09-02 08:22:39 +0200,291,2016-09-02 08:42:21 +0200
291,2016-09-02 08:43:03 +0200,184,2016-09-02 08:48:58 +0200
291,2016-09-02 10:44:27 +0200,222,2016-09-02 11:12:14 +0200
291,2016-09-02 10:44:40 +0200,222,2016-09-02 11:12:02 +0200
291,2016-09-02 11:22:06 +0200,184,2016-09-02 11:30:53 +0200
198,2016-09-02 11:40:28 +0200,291,2016-09-02 11:46:15 +0200
291,2016-09-02 11:43:37 +0200,196,2016-09-02 11:49:09 +0200
227,2016-09-02 11:53:01 +0200,291,2016-09-02 11:58:42 +0200
291,2016-09-02 12:04:30 +0200,169,2016-09-02 12:14:25 +0200
291,2016-09-02 12:07:39 +0200,301,2016-09-02 12:15:44 +0200
291,2016-09-02 12:31:40 +0200,233,2016-09-02 12:35:50 +0200
291,2016-09-02 12:35:36 +0200,195,2016-09-02 12:42:02 +0200
291,2016-09-02 12:36:59 +0200,162,2016-09-02 12:40:49 +0200
291,2016-09-02 12:38:04 +0200,208,2016-09-02 12:46:33 +0200
291,2016-09-02 12:49:24 +0200,222,2016-09-02 13:02:39 +0200
291,2016-09-02 12:51:39 +0200,292,2016-09-02 13:07:23 +0200
291,2016-09-02 12:59:39 +0200,212,2016-09-02 14:25:41 +0200
184,2016-09-02 13:05:41 +0200,291,2016-09-02 13:24:40 +0200
184,2016-09-02 13:18:41 +0200,291,2016-09-02 13:27:25 +0200
184,2016-09-02 13:19:00 +0200,291,2016-09-02 13:27:23 +0200
291,2016-09-02 13:19:19 +0200,161,2016-09-02 14:52:07 +0200
184,2016-09-02 13:26:33 +0200,291,2016-09-02 13:35:40 +0200
291,2016-09-02 13:56:40 +0200,299,2016-09-02 14:03:53 +0200
291,2016-09-02 14:03:52 +0200,202,2016-09-02 14:26:19 +0200
291,2016-09-02 14:09:20 +0200,295,2016-09-02 14:18:00 +0200
291,2016-09-02 14:10:35 +0200,227,2016-09-02 14:14:28 +0200
291,2016-09-02 14:42:23 +0200,211,2016-09-02 14:53:44 +0200
221,2016-09-02 14:53:47 +0200,291,2016-09-02 14:56:41 +0200
184,2016-09-02 15:07:35 +0200,291,2016-09-02 15:16:33 +0200
291,2016-09-02 15:10:41 +0200,268,2016-09-02 15:15:08 +0200
291,2016-09-02 15:10:50 +0200,268,2016-09-02 15:15:13 +0200
291,2016-09-02 15:14:50 +0200,288,2016-09-02 15:24:42 +0200
291,2016-09-02 15:16:17 +0200,253,2016-09-02 15:30:05 +0200
291,2016-09-02 15:16:23 +0200,268,2016-09-02 15:20:47 +0200
291,2016-09-02 15:22:35 +0200,234,2016-09-02 15:39:58 +0200
291,2016-09-02 15:26:52 +0200,181,2016-09-02 15:43:46 +0200
291,2016-09-02 15:36:26 +0200,221,2016-09-02 16:04:20 +0200
291,2016-09-02 15:36:26 +0200,238,2016-09-02 15:46:46 +0200
291,2016-09-02 15:46:48 +0200,287,2016-09-02 15:53:25 +0200
291,2016-09-02 15:47:05 +0200,190,2016-09-02 15:52:01 +0200
291,2016-09-02 16:08:16 +0200,233,2016-09-02 16:11:35 +0200
291,2016-09-02 16:09:16 +0200,291,2016-09-02 16:09:42 +0200
291,2016-09-02 16:09:16 +0200,291,2016-09-02 16:09:42 +0200
291,2016-09-02 16:09:29 +0200,268,2016-09-02 16:13:31 +0200
291,2016-09-02 16:09:50 +0200,268,2016-09-02 16:13:28 +0200
291,2016-09-02 16:12:12 +0200,164,2016-09-02 16:16:09 +0200
221,2016-09-02 16:13:51 +0200,291,2016-09-02 16:17:45 +0200
291,2016-09-02 16:13:59 +0200,181,2016-09-02 16:33:15 +0200
291,2016-09-02 16:14:03 +0200,181,2016-09-02 16:33:31 +0200
291,2016-09-02 16:14:04 +0200,181,2016-09-02 16:39:15 +0200
291,2016-09-02 16:14:05 +0200,181,2016-09-02 16:33:18 +0200
291,2016-09-02 16:17:48 +0200,164,2016-09-02 16:23:29 +0200
291,2016-09-02 16:19:18 +0200,162,2016-09-02 16:24:20 +0200
291,2016-09-02 16:22:53 +0200,227,2016-09-02 16:26:28 +0200
291,2016-09-02 16:26:15 +0200,242,2016-09-02 16:52:49 +0200
291,2016-09-02 16:33:41 +0200,268,2016-09-02 16:37:23 +0200
291,2016-09-02 16:37:19 +0200,299,2016-09-02 16:48:59 +0200
221,2016-09-02 16:39:27 +0200,291,2016-09-02 16:41:44 +0200
291,2016-09-02 16:42:17 +0200,268,2016-09-02 16:46:46 +0200
291,2016-09-02 16:44:05 +0200,248,2016-09-02 16:57:11 +0200
291,2016-09-02 16:46:49 +0200,221,2016-09-02 19:04:22 +0200
255,2016-09-02 16:48:06 +0200,291,2016-09-02 17:01:13 +0200
291,2016-09-02 16:52:55 +0200,222,2016-09-02 17:04:59 +0200
291,2016-09-02 16:53:39 +0200,235,2016-09-02 16:58:36 +0200
291,2016-09-02 16:55:28 +0200,199,2016-09-02 17:07:41 +0200
291,2016-09-02 16:56:07 +0200,199,2016-09-02 17:07:40 +0200
291,2016-09-02 17:04:01 +0200,280,2016-09-02 17:09:23 +0200
291,2016-09-02 17:06:20 +0200,227,2016-09-02 17:09:59 +0200
291,2016-09-02 17:09:27 +0200,287,2016-09-02 17:16:02 +0200
280,2016-09-02 17:38:51 +0200,291,2016-09-02 17:47:13 +0200
280,2016-09-02 17:39:08 +0200,291,2016-09-02 17:47:31 +0200
267,2016-09-02 17:56:10 +0200,291,2016-09-02 18:01:38 +0200
291,2016-09-02 17:56:13 +0200,291,2016-09-02 18:05:18 +0200
291,2016-09-02 17:56:13 +0200,291,2016-09-02 18:05:18 +0200
291,2016-09-02 17:57:43 +0200,162,2016-09-02 18:03:53 +0200
291,2016-09-02 18:02:14 +0200,233,2016-09-02 18:09:20 +0200
228,2016-09-02 18:02:33 +0200,291,2016-09-02 18:23:05 +0200
228,2016-09-02 18:02:43 +0200,291,2016-09-02 18:23:42 +0200
291,2016-09-02 18:14:25 +0200,267,2016-09-02 18:17:01 +0200
233,2016-09-02 18:32:16 +0200,291,2016-09-02 18:39:55 +0200
291,2016-09-02 18:43:54 +0200,234,2016-09-02 18:53:54 +0200
291,2016-09-02 18:55:54 +0200,233,2016-09-02 19:00:31 +0200
291,2016-09-02 19:02:54 +0200,199,2016-09-02 19:19:28 +0200
267,2016-09-02 19:22:21 +0200,291,2016-09-02 19:27:11 +0200
291,2016-09-02 19:33:35 +0200,185,2016-09-02 19:38:51 +0200
267,2016-09-02 20:52:43 +0200,291,2016-09-02 20:56:59 +0200
291,2016-09-02 21:06:23 +0200,161,2016-09-02 21:08:18 +0200
267,2016-09-03 08:11:25 +0200,291,2016-09-03 08:16:44 +0200
291,2016-09-03 08:22:24 +0200,227,2016-09-03 08:25:21 +0200
262,2016-09-03 10:58:17 +0200,291,2016-09-03 11:15:56 +0200
291,2016-09-03 11:07:26 +0200,253,2016-09-03 11:18:57 +0200
291,2016-09-03 11:09:28 +0200,190,2016-09-03 11:14:53 +0200
291,2016-09-03 11:12:37 +0200,192,2016-09-03 11:36:28 +0200
161,2016-09-03 11:15:46 +0200,291,2016-09-03 11:59:52 +0200
227,2016-09-03 11:17:48 +0200,291,2016-09-03 11:24:31 +0200
291,2016-09-03 11:18:50 +0200,208,2016-09-03 11:32:32 +0200
291,2016-09-03 11:22:59 +0200,251,2016-09-03 11:42:07 +0200
291,2016-09-03 11:33:23 +0200,299,2016-09-03 11:44:20 +0200
291,2016-09-03 11:34:18 +0200,238,2016-09-03 11:44:57 +0200
291,2016-09-03 12:00:16 +0200,228,2016-09-03 12:03:27 +0200
291,2016-09-03 12:00:25 +0200,253,2016-09-03 12:31:09 +0200
291,2016-09-03 12:07:05 +0200,275,2016-09-03 12:29:01 +0200
291,2016-09-03 12:07:06 +0200,275,2016-09-03 12:28:56 +0200
291,2016-09-03 12:09:07 +0200,220,2016-09-03 12:30:44 +0200
291,2016-09-03 12:09:12 +0200,190,2016-09-03 12:14:19 +0200
291,2016-09-03 12:09:19 +0200,181,2016-09-03 12:52:57 +0200
291,2016-09-03 12:09:40 +0200,234,2016-09-03 12:30:40 +0200
291,2016-09-03 12:14:58 +0200,185,2016-09-03 12:23:13 +0200
291,2016-09-03 12:15:00 +0200,185,2016-09-03 12:23:07 +0200
291,2016-09-03 13:05:42 +0200,162,2016-09-03 16:07:47 +0200
291,2016-09-03 13:06:16 +0200,202,2016-09-03 13:13:59 +0200
291,2016-09-03 13:07:19 +0200,234,2016-09-03 13:17:01 +0200
291,2016-09-03 13:10:32 +0200,306,2016-09-03 13:20:01 +0200
291,2016-09-03 13:20:25 +0200,206,2016-09-03 13:25:37 +0200
291,2016-09-03 13:21:50 +0200,291,2016-09-03 13:30:13 +0200
291,2016-09-03 13:21:50 +0200,291,2016-09-03 13:30:13 +0200
291,2016-09-03 13:25:27 +0200,199,2016-09-03 13:44:53 +0200
291,2016-09-03 13:31:30 +0200,161,2016-09-03 16:11:03 +0200
169,2016-09-03 14:32:34 +0200,291,2016-09-03 14:50:35 +0200
291,2016-09-03 14:57:25 +0200,227,2016-09-03 15:00:37 +0200
162,2016-09-03 16:08:35 +0200,291,2016-09-03 17:47:43 +0200
268,2016-09-03 16:20:10 +0200,291,2016-09-03 16:27:41 +0200
291,2016-09-03 16:33:44 +0200,221,2016-09-03 16:36:43 +0200
242,2016-09-03 17:47:47 +0200,291,2016-09-03 18:04:54 +0200
291,2016-09-03 17:47:53 +0200,227,2016-09-03 17:54:52 +0200
233,2016-09-03 17:52:53 +0200,291,2016-09-03 17:58:24 +0200
291,2016-09-03 17:59:32 +0200,227,2016-09-03 18:02:49 +0200
291,2016-09-03 18:06:17 +0200,280,2016-09-03 18:11:46 +0200
233,2016-09-03 18:22:19 +0200,291,2016-09-03 19:10:37 +0200
291,2016-09-03 19:17:38 +0200,221,2016-09-03 19:46:39 +0200
219,2016-09-03 19:19:16 +0200,291,2016-09-03 19:34:09 +0200
291,2016-09-03 19:35:11 +0200,272,2016-09-03 19:44:31 +0200
291,2016-09-03 19:38:57 +0200,222,2016-09-03 19:57:07 +0200
291,2016-09-03 19:43:02 +0200,185,2016-09-03 22:12:33 +0200
291,2016-09-03 19:45:42 +0200,198,2016-09-03 19:50:34 +0200
291,2016-09-03 19:48:48 +0200,269,2016-09-03 19:57:38 +0200
291,2016-09-03 19:49:50 +0200,218,2016-09-03 19:56:58 +0200
291,2016-09-03 19:52:19 +0200,299,2016-09-03 20:04:12 +0200
291,2016-09-03 20:00:28 +0200,206,2016-09-03 20:04:15 +0200
291,2016-09-03 20:00:50 +0200,227,2016-09-03 20:07:04 +0200
291,2016-09-03 20:01:50 +0200,233,2016-09-03 20:12:13 +0200
291,2016-09-03 20:06:51 +0200,275,2016-09-03 20:17:57 +0200
291,2016-09-03 20:07:21 +0200,275,2016-09-03 20:18:00 +0200
291,2016-09-03 20:11:38 +0200,255,2016-09-03 20:18:29 +0200
291,2016-09-03 20:47:58 +0200,229,2016-09-03 20:58:02 +0200
291,2016-09-03 20:48:37 +0200,234,2016-09-03 20:56:14 +0200
291,2016-09-03 20:49:20 +0200,229,2016-09-03 20:57:58 +0200
291,2016-09-03 20:53:13 +0200,164,2016-09-03 20:59:59 +0200
291,2016-09-03 20:53:50 +0200,164,2016-09-03 20:59:59 +0200
291,2016-09-03 20:57:01 +0200,198,2016-09-03 21:07:11 +0200
291,2016-09-03 21:28:01 +0200,226,2016-09-03 21:34:30 +0200
291,2016-09-03 21:39:21 +0200,194,2016-09-03 21:53:52 +0200
291,2016-09-03 21:40:57 +0200,161,2016-09-03 21:42:48 +0200
199,2016-09-03 21:55:59 +0200,291,2016-09-03 22:12:29 +0200
291,2016-09-03 21:56:03 +0200,164,2016-09-03 22:02:41 +0200
222,2016-09-03 22:10:00 +0200,291,2016-09-03 22:23:10 +0200
291,2016-09-03 22:13:14 +0200,232,2016-09-03 22:22:29 +0200
291,2016-09-03 22:13:28 +0200,226,2016-09-03 22:23:09 +0200
254,2016-09-03 22:13:41 +0200,291,2016-09-03 22:25:40 +0200
291,2016-09-03 22:24:10 +0200,211,2016-09-03 22:36:12 +0200
291,2016-09-03 22:34:03 +0200,164,2016-09-03 22:38:39 +0200
291,2016-09-03 23:02:24 +0200,196,2016-09-03 23:11:32 +0200
287,2016-09-03 23:08:35 +0200,291,2016-09-03 23:21:11 +0200
291,2016-09-03 23:33:55 +0200,189,2016-09-03 23:46:38 +0200
226,2016-09-04 06:47:28 +0200,291,2016-09-04 07:00:18 +0200
291,2016-09-04 07:04:34 +0200,256,2016-09-04 07:28:14 +0200
210,2016-09-04 08:08:28 +0200,291,2016-09-04 08:18:30 +0200
272,2016-09-04 08:50:04 +0200,291,2016-09-04 08:59:49 +0200
291,2016-09-04 09:06:26 +0200,192,2016-09-04 09:14:15 +0200
